angle,distance
-1.1911872625350952,0.23100000619888306
-1.1797336339950562,0.2329999953508377
-1.168280005455017,0.23499999940395355
-1.1565536260604858,0.2370000034570694
-1.1453722715377808,0.23800000548362732
-1.1339186429977417,0.23999999463558197
-1.1224650144577026,0.24199999868869781
-1.1104658842086792,0.24400000274181366
-1.0990122556686401,0.2460000067949295
-1.0872858762741089,0.24799999594688416
-1.0755590200424194,0.25
-1.0641053915023804,0.2529999911785126
-1.0526517629623413,0.2549999952316284
-1.04092538356781,0.257999986410141
-1.029471755027771,0.25999999046325684
-1.0177453756332397,0.2630000114440918
-1.0060185194015503,0.26499998569488525
-0.9945648312568665,0.2680000066757202
-0.9831112027168274,0.2709999978542328
-0.9716575741767883,0.27399998903274536
-0.9599311947822571,0.2770000100135803
